nbr_clauses,num_vars,num_literals,temps,memUsage
2,43,2,0.000000,40
4,21,2,0.035000,80
6,24,3,0.497000,120
8,24,3,0.669000,160
10,1,1,0.000000,200
12,31,2,180.425000,240
14,2,3,0.000000,280
